N	MC est. error	MC actual error	Value
2559	7.803951E-002	9.692207E-002	3.180974447
2582	7.482609E-002	3.918287E-002	3.044869509
2606	7.605785E-002	2.519129E-002	3.058861089
2630	7.420730E-002	9.541750E-002	2.988634880
2655	7.674278E-002	6.242525E-002	3.146477629
2679	7.495587E-002	5.053934E-003	3.089106311
2704	7.417488E-002	7.069895E-002	3.013353430
2729	7.429793E-002	5.170315E-002	3.032349224
2754	7.697698E-002	1.706001E-001	3.254652438
2780	7.348836E-002	9.155405E-002	2.992498331
2805	7.491227E-002	6.575462E-002	3.149806996
2831	7.026491E-002	1.775814E-001	2.906471024
2858	7.446039E-002	9.677360E-002	3.180825981
2884	7.418444E-002	8.219898E-002	3.166251354
2911	7.217752E-002	1.572147E-002	3.068330910
2938	7.238535E-002	7.336715E-002	3.157419523
2965	7.139462E-002	1.181941E-002	3.095871786
2992	7.121290E-002	2.789335E-003	3.081263042
3020	7.154382E-002	4.815300E-003	3.079237077
3048	7.142699E-002	4.758839E-002	3.131640763
3076	7.178166E-002	8.410329E-002	3.168155665
3105	7.177038E-002	1.251214E-001	3.209173766
3133	7.045360E-002	2.393770E-003	3.086446147
3162	6.792609E-002	5.205966E-002	3.031992714
3192	6.983603E-002	3.227483E-002	3.051777549
3221	6.884891E-002	3.091674E-002	3.053135641
3251	6.862537E-002	4.094880E-002	3.125001177
3281	6.885417E-002	8.003523E-003	3.076048854
3311	6.688901E-002	9.310735E-002	2.990945027
3342	6.716049E-002	9.633667E-003	3.074418710
3373	6.886126E-002	5.292728E-002	3.136979658
3404	6.857706E-002	1.135353E-001	3.197587661
3436	6.780577E-002	7.712480E-002	3.161177179
3467	6.767847E-002	5.091761E-002	3.134969983
3499	6.716934E-002	7.823077E-002	3.162283144
3532	6.523277E-002	5.595848E-002	3.028093894
3565	6.613402E-002	2.074939E-003	3.086127316
3597	6.434405E-002	1.100411E-003	3.085152788
3631	6.249854E-002	1.697816E-001	2.914270791
3664	6.558304E-002	8.712829E-002	3.171180667
3698	6.383392E-002	2.385503E-002	3.060197351
3733	6.444989E-002	7.789587E-002	3.161948246
3767	6.455373E-002	5.965384E-002	3.143706219
3802	6.345219E-002	1.709011E-002	3.101142483
3837	6.375862E-002	9.528448E-002	3.179336853
3873	6.213300E-002	1.801118E-003	3.082251259
3908	6.264185E-002	5.891963E-003	3.089944340
3945	6.334930E-002	7.730228E-002	3.161354658
3981	6.349529E-002	8.710876E-002	3.171161134
4018	6.199800E-002	5.954790E-002	3.143600273
4055	6.200441E-002	1.555105E-002	3.099603423
4093	6.016444E-002	2.800213E-002	3.056050245
4130	6.123727E-002	3.156948E-002	3.115621860
4169	6.017708E-002	2.865206E-002	3.055400318
4207	6.199191E-002	1.647603E-001	3.248812693
4246	6.085382E-002	1.294208E-001	3.213473190
4285	6.025859E-002	5.229141E-004	3.084575291
4325	5.944137E-002	2.004974E-002	3.064002642
