N	MC est. error	MC actual error	Value
2694	3.229086E-002	5.027862E-002	3.091314
2695	3.168563E-002	3.930316E-003	3.137662
2696	3.106487E-002	4.089993E-002	3.182493
2697	3.130329E-002	2.340549E-002	3.164998
2698	3.155593E-002	4.441446E-003	3.146034
2699	3.178253E-002	1.302652E-002	3.128566
2700	3.143549E-002	1.248142E-002	3.154074
2701	3.170362E-002	7.938451E-003	3.133654
2702	3.145554E-002	1.014680E-002	3.151739
2703	3.231009E-002	5.613205E-002	3.085461
2704	3.177082E-002	1.437372E-002	3.127219
2705	3.114081E-002	3.178997E-002	3.173383
2706	3.203753E-002	3.590160E-002	3.105691
2707	3.074365E-002	5.899841E-002	3.200591
2708	3.117238E-002	2.827441E-002	3.169867
2709	3.173973E-002	1.423939E-002	3.127353
2710	3.167141E-002	9.489333E-003	3.132103
2711	3.160278E-002	4.742783E-003	3.136850
2712	3.129483E-002	1.769938E-002	3.159292
2713	3.144475E-002	6.214202E-003	3.147807
2714	3.147433E-002	3.580523E-003	3.145173
2715	3.130505E-002	1.568175E-002	3.157274
2716	3.133510E-002	1.304652E-002	3.154639
2717	3.224131E-002	5.730852E-002	3.084284
2718	3.172629E-002	1.723651E-002	3.124356
2719	3.156159E-002	5.145430E-003	3.136447
2720	3.170623E-002	1.659265E-002	3.125000
2721	3.073198E-002	5.429121E-002	3.195884
2722	3.193244E-002	3.505334E-002	3.106539
2723	3.150211E-002	2.407931E-003	3.139185
2724	3.084850E-002	4.489780E-002	3.186490
2725	3.197685E-002	3.994128E-002	3.101651
2726	3.109489E-002	2.641909E-002	3.168012
2727	3.130505E-002	1.058923E-002	3.152182
2728	3.051504E-002	6.661849E-002	3.208211
2729	3.212049E-002	5.328192E-002	3.088311
2730	3.164453E-002	1.631793E-002	3.125275
2731	3.157715E-002	1.160364E-002	3.129989
2732	3.129494E-002	9.212617E-003	3.150805
2733	3.122575E-002	1.391412E-002	3.155507
2734	3.125541E-002	1.129689E-002	3.152890
2735	3.120597E-002	1.453166E-002	3.156124
2736	3.107655E-002	2.361202E-002	3.165205
2737	3.086446E-002	3.853157E-002	3.180124
2738	3.156497E-002	1.376212E-002	3.127831
2739	3.157409E-002	1.490408E-002	3.126689
2740	3.044021E-002	6.716647E-002	3.208759
2741	3.112695E-002	1.783821E-002	3.159431
2742	3.119613E-002	1.230961E-002	3.153902
2743	3.181569E-002	3.550443E-002	3.106088
2744	3.109745E-002	1.875720E-002	3.160350
2745	3.076566E-002	4.237820E-002	3.183971
2746	3.109760E-002	1.791208E-002	3.159505
2747	3.116659E-002	1.239351E-002	3.153986
2748	3.083798E-002	3.599104E-002	3.177584
2749	3.092886E-002	2.901484E-002	3.170607
2750	3.135072E-002	2.683563E-003	3.138909
2751	3.110771E-002	1.507765E-002	3.156670
2752	3.071779E-002	4.300037E-002	3.184593
2753	3.116642E-002	9.878469E-003	3.151471
2754	3.071868E-002	4.214010E-002	3.183733
2755	3.076974E-002	3.808067E-002	3.179673
2756	3.109800E-002	1.370488E-002	3.155298
2757	3.083079E-002	3.287234E-002	3.174465
