0 0
3,80071044604633E-05 0
0,0144903821949945 3,04254650971128E-06
0,0145236729024316 3,06356495451816E-06
0,0145569636632443 3,08468001026703E-06
0,0145902544775553 3,10589189887331E-06
0,0146235453454877 3,12720084225597E-06
0,0146568362671644 3,14860706233757E-06
0,0146901272427082 3,17011078104423E-06
0,014723418272242 3,19171222030568E-06
0,0147567093558888 3,21341160205522E-06
0,0147900004937714 3,23520914822979E-06
0,0148232916860128 3,25710508076991E-06
0,0148565829327359 3,27909962161976E-06
0,0148898742340635 3,30119299272711E-06
0,0149231655901186 3,32338541604339E-06
0,014956457001024 3,34567711352368E-06
0,0149897484669028 3,36806830712671E-06
0,0150230399878777 3,39055921881486E-06
0,0150563315640717 3,41315007055422E-06
0,0150896231956077 3,4358410843145E-06
0,0151229148826086 3,45863248206916E-06
0,0151562066251974 3,48152448579531E-06
0,0151894984234968 3,50451731747378E-06
0,0152227902776299 3,52761119908912E-06
0,0152560821877195 3,55080635262959E-06
0,0152893741538885 3,57410300008719E-06
0,0153226661762599 3,59750136345764E-06
0,0153559582549565 3,62100166474041E-06
0,0153892503901013 3,64460412593874E-06
0,0154225425818172 3,66830896905961E-06
0,0154558348302271 3,69211641611378E-06
0,0154891271354538 3,71602668911579E-06
0,0155224194976203 3,74004001008395E-06
0,0155557119168496 3,76415660104039E-06
0,0155890043932644 3,78837668401102E-06
0,0156222969269878 3,81270048102558E-06
0,0156555895181426 3,83712821411761E-06
0,0156888821668518 3,86166010532448E-06
0,0157221748732382 3,88629637668741E-06
0,0157554676374248 3,91103725025144E-06
0,0157887604595344 3,9358829480655E-06
0,0158220533396901 3,96083369218233E-06
0,0158553462780146 3,98588970465857E-06
0,015888639274631 4,01105120755473E-06
0,015921932329662 4,03631842293521E-06
0,0159552254432308 4,06169157286828E-06
0,01598851861546 4,08717087942615E-06
0,0160218118464727 4,11275656468489E-06
0,0160551051363918 4,13844885072453E-06
0,0160883984853402 4,164247959629E-06
0,0161216918934408 4,19015411348617E-06
0,0161549853608164 4,21616753438787E-06
0,0161882788875902 4,24228844442984E-06
0,0162215724738848 4,26851706571181E-06
0,0162548661198233 4,29485362033747E-06
0,0162881598255286 4,32129833041447E-06
0,0163214535911235 4,34785141805447E-06
0,0163547474167311 4,37451310537311E-06
0,0163880413024742 4,40128361449E-06
0,0164213352484757 4,42816316752881E-06
0,0164546292548585 4,45515198661717E-06
0,0164879233217456 4,48225029388678E-06
0,0165212174492599 4,50945831147335E-06
0,0165545116375242 4,53677626151662E-06
0,0165878058866616 4,56420436616041E-06
0,0166211001967949 4,59174284755256E-06
0,0166543945680471 4,61939192784501E-06
0,016687689000541 4,64715182919374E-06
0,0167209834943996 4,67502277375883E-06
0,0167542780497458 4,70300498370445E-06
0,0167875726667025 4,73109868119887E-06
0,0168208673453926 4,75930408841444E-06
0,0168541620859391 4,78762142752765E-06
0,0168874568884648 4,81605092071912E-06
0,0169207517530928 4,84459279017356E-06
0,0169540466799458 4,87324725807986E-06
0,0169873416691469 4,90201454663103E-06
0,0170206367208189 4,93089487802425E-06
0,0170539318350848 4,95988847446086E-06
0,0170872270120675 4,98899555814636E-06
0,0171205222518899 5,01821635129045E-06
0,0171538175546749 5,047551076107E-06
0,0171871129205455 5,07699995481409E-06
0,0172204083496246 5,10656320963398E-06
0,017253703842035 5,13624106279317E-06
0,0172869993978998 5,16603373652237E-06
0,0173202950173418 5,19594145305652E-06
0,017353590700484 5,22596443463478E-06
0,0173868864474492 5,25610290350058E-06
0,0174201822583605 5,28635708190159E-06
0,0174534781333407 5,31672719208975E-06
0,0174867740725128 5,34721345632126E-06
0,0175200700759996 5,3778160968566E-06
0,0175533661439241 5,40853533596053E-06
0,0175866622764093 5,43937139590213E-06
0,017619958473578 5,47032449895476E-06
0,0176532547355532 5,50139486739609E-06
0,0176865510624578 5,53258272350811E-06
0,0177198474544148 5,56388828957715E-06
0,0177531439115469 5,59531178789386E-06
0,0177864404339773 5,62685344075325E-06
0,0178197370218288 5,65851347045466E-06
0,0178530336752243 5,69029209930181E-06
0,0178863303942867 5,72218954960278E-06
0,0179196271791391 5,75420604367002E-06
0,0179529240299042 5,78634180382037E-06
0,0179862209467051 5,81859705237506E-06
0,0180195179296647 5,85097201165974E-06
0,0180528149789059 5,88346690400445E-06
0,0180861120945516 5,91608195174363E-06
0,0181194092767247 5,94881737721619E-06
0,0181527065255482 5,98167340276544E-06
